
 system.sum(listens_album) | year | artist
                    310706 | 2015 |                                                     Andy G. Cohen
                     10042 | 2015 |                                                      Angel Garcia
                     67967 | 2015 |                                                             Anima
                     15103 | 2015 |                                                      Anla Courtis
                     44343 | 2015 |                                                    Ant The Symbol
                    155768 | 2015 |                                                   Anthony Donovan
                     16424 | 2015 |                                  Anthony Donovan & Jaan Patterson
                     16424 | 2015 |                     Anthony Donovan Hopek Quirin & Jaan Patterson
                     31978 | 2015 |                                                   Anthony Osborne
                     40072 | 2015 |                                 Anthony Osborne and Ronny Waernes
                     25173 | 2015 |                                      Anthony Osborne and Ungetreu
                     47144 | 2015 |                                                     Anthony Seeha
                     16424 | 2015 |                        Anton Mobin Jaan Patterson & Patrizio Pica
                      7285 | 2015 |                                                  Antonio de Braga
                     40072 | 2015 |                                Antonio de Braga and datewithdeath
                     49093 | 2015 |                                                     Apache Tomcat
                     82634 | 2015 |                                                       Apydiagirls
                      9154 | 2015 |                                                             Arbee
                     34854 | 2015 |                                                           Arcaïde
                     34854 | 2015 |                                    Architeuthis Dux & Fiorella 16
                     82634 | 2015 |                                                       Archivarius
                     48204 | 2015 |                                                   Arco Enarmonico
                     34854 | 2015 |                                                            Ardleg
                      5184 | 2015 |                                           Armie And The Strutters
                      2473 | 2015 |                                                        Arno Bruil
                       709 | 2015 |                                     Arnold Dreyblatt and Megafaun
                      5706 | 2015 |                                                         Arrogalla
                     25031 | 2015 |                                        Arrogalla meet Ratapignata
                     15635 | 2015 |                                                         Ars Sonor
                      5605 | 2015 |                                                Arsenic Strychnine
                     15261 | 2015 |                                                       Artem Bemba
                     61856 | 2015 |                                                 Arthur Henry Fork
                     34854 | 2015 |                                                             Artoh
                     34854 | 2015 |                                                         Arvo Zylo
                      8912 | 2015 |                                                           Ascetic
                     82634 | 2015 |                                            Asleep With Headphones
                      3296 | 2015 |                                               Asthmatic Astronaut
                     40072 | 2015 |                                                       Astrometria

 system.sum(listens_album) | year | artist
---------------------------+------+--------------------------------------------------------
                     37013 | 2015 |                                           Astrometrics
                     34854 | 2015 |                    Atelier Clandestin de Transmutation
                     26317 | 2015 |                                       Atlantic Thrills
                      3937 | 2015 |                                              Attic Ted
                       945 | 2015 |                                                Audio K
                     73843 | 2015 |                                            Audiobinger
                     82634 | 2015 |                                              Audraulic
                     21784 | 2015 |                                             Aunt Benny
                     22475 | 2015 |                                       Autumna X Triage
                      1453 | 2015 |                                           Avram Pengas
                     34854 | 2015 |                               Ayato & Evarist Champion
                     47484 | 2015 |                                 Ayato and Naoki Ishida
                     76949 | 2015 |                                              Azureflux
                       590 | 2015 |                                                 BABY59
                     12735 | 2015 |                                            Babe Parade
                       335 | 2015 |                                                  Babel
                       692 | 2015 |                                 Babel-Harms-Ballantyne
                     12917 | 2015 |                                            Baby Shakes
                      7217 | 2015 |                                       Balkan Mind Meld
                     61856 | 2015 |                                                  Balkh
                     33328 | 2015 |                                            Bary Center
                     40072 | 2015 |                                              Basstards
                     98535 | 2015 |                                            Beat Doctor
                     82634 | 2015 |                                         Beauty Product
                     15103 | 2015 |                                          Beauty School
                      3419 | 2015 |                                           Beech Creeps
                     25173 | 2015 |                              Beentjes Cunliffe Donovan
                     10397 | 2015 |                                         Beggars Velvet
                     79868 | 2015 |                                             Ben Presto
                     33328 | 2015 |                                             Ben Varian
                     24097 | 2015 |                                                Bengale
                     20701 | 2015 | Bennett - Bravo - Mehrl - Olivera - Taveira - Italiano
                     34854 | 2015 |                                            Berger Rond
                      1963 | 2015 |                                      Bermuda Triangles
                      8132 | 2015 |                                        Bernard Dumaine
                    107478 | 2015 |                                              Berthelot
                     76434 | 2015 |                                 Big Mean Sound Machine
                     19322 | 2015 |                                              Big Quiet
                      3639 | 2015 |                                               Biggbutt
                     16424 | 2015 |                 Binary Slim John Juan & Jaan Patterson
                      4604 | 2015 |                                           Birdstriking
                     35447 | 2015 |                           Birgitt & The Magic Crumpets
                      4824 | 2015 |                                             Bisamråtta
                     54153 | 2015 |                                            Bit Shifter
                      7463 | 2015 |                                            Black Bones
                     87029 | 2015 |                                           Black Howler
                     98535 | 2015 |                                           Blastculture
                     13634 | 2015 |                                            Blato Zlato
                     40072 | 2015 |                                                 BlkMas
                    547002 | 2015 |                                      Blue Dot Sessions
                     25173 | 2015 |                                           Bob Ostertag
                     34580 | 2015 |                                      Boom Boom Beckett
                     21784 | 2015 |                               Boss Matthies and Chagas
                     82634 | 2015 |                                             Bouwakanja
                     15103 | 2015 |                                           Brandstifter
                     23558 | 2015 |                                            Brazzmatazz
                     19330 | 2015 |                                         Break The Bans
                     10245 | 2015 |                                     BreakBeat Chemists
                      7285 | 2015 |                                        Breathing Space
                      8837 | 2015 |                                                 Bremer
                     15103 | 2015 |                                       Bret Harold Hart
                      4283 | 2015 |                                            Brett Saxon
                     11139 | 2015 |                                            Brian Dewan
                     34854 | 2015 |                                            Brian Routh
                      4399 | 2015 |                                        Bridget St John
                     21014 | 2015 |                                           Broken Ideas
                     22475 | 2015 |                                  BroodingSideOfMadness
                     10601 | 2015 |                       Broto Verbo vs Sci Fi Industries
                      2745 | 2015 |                                             Brown Piss
                     21784 | 2015 |                                                Bruxism
                     27092 | 2015 |                                        Bryan Divisions
                      8132 | 2015 |                                   Bryan Lewis Saunders
                     16424 | 2015 |                  Bryan Lewis Saunders & Jaan Patterson
                      4906 | 2015 |                                          Bugs and Rats
                      5706 | 2015 |                                           Buguinha Dub
                      7561 | 2015 |                                            Bummers Eve
                      5495 | 2015 |                                         Bureaucratique
                      9916 | 2015 |                                        Byron Westbrook
                     82634 | 2015 |                                               C Mantle
                      2444 | 2015 |                                                  C-Doc
                      6797 | 2015 |                                              C. Reider
                     20395 | 2015 |                                CM & Tha Silent Partner
                     57329 | 2015 |                                        CROCODILE TEARS
                     75781 | 2015 |                                                Caballo
                     25173 | 2015 |                         Cabrini Green and David Nadeau
                      7412 | 2015 |                                                 Cadlag
                      9094 | 2015 |                                            Cagey House
                      7417 | 2015 |                                       Cahill Locksmith
                      5605 | 2015 |                                          Candlegravity
                      5970 | 2015 |                                             Canned Fit
                     40666 | 2015 |                                         Captive Portal
                     82634 | 2015 |                                             Carbo Flex
                     48234 | 2015 |                                      Carl and Jeannine
                     40072 | 2015 |                                         Carlos Ramirez
                      8221 | 2015 |                       Carmen Burguess & Evelyne Neg-Fi
                      3584 | 2015 |                                          Caroline Park
                     13602 | 2015 |                                          Carver Audain
                     33195 | 2015 |                                  Cassette Tape Bandits
                    102667 | 2015 |                                     Castello di Trokai
                      3700 | 2015 |                                       Catholic Witches

 system.sum(listens_album) | year | artist
---------------------------+------+------------------------------------------------
                      8070 | 2015 |                                          Cazma
                     82634 | 2015 |                              Cedric von Flugel
                      1312 | 2015 |                                Charles Premier
                     17469 | 2015 |                                 Cheese N Pot-C
                      1294 | 2015 |                                Chester Hawkins
                     40072 | 2015 |                                     Chevo Légé
                     25434 | 2015 |                                 Chicano Batman
                      3637 | 2015 |                                    Child Abuse
                     33328 | 2015 |                      Choral Reefr (prod. Slyy)
                      5173 | 2015 |                  Chris Corsano-Mette Rasmussen
                      5605 | 2015 |                                 Chris Silver T
                    224435 | 2015 |                                Chris Zabriskie
                     33581 | 2015 |                             Christian Flanders
                     97975 | 2015 |                           Christoph Schindling
                     15103 | 2015 |                             Christopher Petkus
                      3187 | 2015 |                               Christopher Rave
                     40072 | 2015 |                          Christos Sakellaridis
                     83969 | 2015 |                                     Chtin Mara
                     41687 | 2015 |                       Chtin Mara with Bad Poet
                     41687 | 2015 |           Chtin Mara with Bad Poet and Marrach
                     41687 | 2015 |                        Chtin Mara with Marrach
                      4382 | 2015 |                                    Church Bats
                     12190 | 2015 |           Church Of When The Shit Hits The Fan
                     12014 | 2015 |                                      Chuzausen
                      1911 | 2015 |                                        Cinchel
                      7019 | 2015 |                                 Clay Rendering
                     35838 | 2015 |                                    ClicksnBugs
                      8837 | 2015 |                                         Cloack
                     34854 | 2015 |                                          Clown
                      8837 | 2015 |                                    Clubfratsen
                     16424 | 2015 |                       Clutter & Jaan Patterson
                     52406 | 2015 |                                Coin Locker Kid
                      9975 | 2015 |                                      Cold Beat
                     84855 | 2015 |                                      Coldnoise
                     82634 | 2015 |                               Colundi Disciple
                      7412 | 2015 |                                   Company Fuck
                     24975 | 2015 |                                    Connections
                     15045 | 2015 |                           Consumer Electronics
                     11386 | 2015 |                                      Container
                      4098 | 2015 |                                      Cor Blanc
                     27215 | 2015 |                      Cousin Silas - Black Hill
                     40072 | 2015 | Cousin Silas and Sean Derrick Cooper Marquardt
                     40590 | 2015 |                                 Crank Sturgeon
                     24097 | 2015 |                                  Crayon Mortel
                      7341 | 2015 |                                   Critical Dad
                     20025 | 2015 |                                    Crossworlds
                     61856 | 2015 |                                       Crush!!!
                     34854 | 2015 |                                     Csillagkod
                     23354 | 2015 |                                           Csum
                     10453 | 2015 |                                         Cuarto
                     88063 | 2015 |                                         Cullah
                     24097 | 2015 |                             Curious Inversions
                     34854 | 2015 |           Cut featuring Gibet Remix by Orestes
                      6604 | 2015 |                                          CuzOH
                     14278 | 2015 |                                     Cycle~ 440
                     82634 | 2015 |                                        D-Scape
                     88650 | 2015 |                          D-lity feat. Amaranth
                      4459 | 2015 |                                         DINNER
                     16424 | 2015 |                       Dada AG & Jaan Patterson
                     12159 | 2015 |                           Daily Khaos delivery
                     22475 | 2015 |                                         Daitse
                     40072 | 2015 |                           Damien Olsen and LIL
                     10982 | 2015 |                                      Dan Friel
                       772 | 2015 |                  Dan Melchior with Tony Allman
                     10966 | 2015 |                                         Dancer
                      3117 | 2015 |              Daniel Barbiero - Cristiano Bocci
                    111722 | 2015 |                                 Daniel Heikalo
                     25173 | 2015 |               Daniel James Ross and Noel Walsh
                     19409 | 2015 |                  Daniele Pasini-Raffaele Pilia
                     40072 | 2015 |                                  Darius Greene
                     16424 | 2015 |                 Darius Greene & Jaan Patterson
                      8550 | 2015 |                           Dark Chocolate Chips
                     82825 | 2015 |                                       DarkSunn
                     22475 | 2015 |                                 Dave Fuglewicz
                     34854 | 2015 |                                    Dave Migman
                     65245 | 2015 |                                   David Fenech
                      8168 | 2015 |                      David Harrow meets Dr Dub
                     24693 | 2015 |                                   David Nadeau
                     20484 | 2015 |                                   David Rovics
                     71669 | 2015 |                                      Dazie Mae
                      2335 | 2015 |                                   Dead Tenants
                     16320 | 2015 |                                      Deadlines
                      4392 | 2015 |                                      Deaf Wish
                     47144 | 2015 |                                      Decktonic
                      3564 | 2015 |                                   Deftechnixks
                     39137 | 2015 |                       Denitsa Mineva & Kosta T
                     24693 | 2015 |                                   Dental Dames
                      5605 | 2015 |                       Der Domestizierte Mensch
                     21479 | 2015 |                              Der Zirkus brennt
                      7386 | 2015 |                                    Derek Baron
                     49866 | 2015 |                                   Destroyevsky
                     19409 | 2015 |                                         Di Bos
                     98535 | 2015 |                                   Diamond Cuts
                     34854 | 2015 |                                   Die Wahrheit
                     15103 | 2015 |                                   Dimmer Twins
                     12883 | 2015 |                                   Dirty Fences
                     33328 | 2015 |                                     Discoverer
                    102915 | 2015 |                                      Dissolved
                     20281 | 2015 |                             Dissolved - Nonima
                     10785 | 2015 |                             Divine Electronics

 system.sum(listens_album) | year | artist
---------------------------+------+-------------------------------------
                     34854 | 2015 |    DivineBrick Research Productions
                      7285 | 2015 |                      Dixie Treichel
                       805 | 2015 |                         Dj Patrizio
                      4462 | 2015 |                         Dj Socrates
                     82634 | 2015 |          Djackulate & Jimmy Penguin
                     82634 | 2015 |                      Dmitry Mazurov
                     25173 | 2015 |                        Doll is Mine
                     12769 | 2015 |                         Dom La Nena
                     34854 | 2015 |                      Dominus Rectum
                     25031 | 2015 |          Don Goliath feat Bragga MC
                      7285 | 2015 |                          Dongle Doc
                      8551 | 2015 |                         Doobiesound
                      5449 | 2015 |                      Doppelskangers
                      3401 | 2015 |                      Dorit Chrysler
                     25031 | 2015 |                            Dr RemiX
                     34854 | 2015 |                          Dr Shalako
                     25173 | 2015 |                         Dr Sparkles
                      4286 | 2015 |                             Draache
                     54153 | 2015 |                     Dragão Inkomodo
                     34854 | 2015 |                         Dream Drunk
                     98535 | 2015 |                          Dreamworld
                     34854 | 2015 |                          Dreyt Nien
                     18292 | 2015 |                            Droopies
                     25031 | 2015 |             Du3normal feat Babystep
                     82634 | 2015 |                         Dunaewsky69
                      4042 | 2015 |                              Dungen
                      1874 | 2015 |                           Dunk Tank
                     82634 | 2015 |                         Dylan Grimm
                     20329 | 2015 |                   Dyslexic Fudgicle
                     19642 | 2015 |                           E T I L E
                     21784 | 2015 |           E. Taeggi and D. Fariello
                       485 | 2015 |                                ENOT
                       634 | 2015 |                                 EON
                      1020 | 2015 |                          Eartheater
                     25031 | 2015 |                                Ebsa
                      1362 | 2015 |                             Eden SG
                      9647 | 2015 |                      Edgardo Moreno
                     40072 | 2015 |                           Edgelands
                     53024 | 2015 |                         Ehl-i Keyif
                     34854 | 2015 |                             El Kura
                     24554 | 2015 |                    Electric Mirrors
                     12012 | 2015 |                         Electrician
                     24693 | 2015 |                        Electronchis
                     19409 | 2015 |                           Elisa Luu
                     35447 | 2015 |                         Elmet Pento
                     40072 | 2015 |     Elvin Brandhi and THF Drenching
                     38022 | 2015 |                         Elvis Herod
                     21014 | 2015 |                        Emerald Park
                      2898 | 2015 |                               Entia
                      5728 | 2015 |          Envitonmental Encroachment
                    142215 | 2015 |                        Ergo Phizmiz
                     16424 | 2015 |        Erick Diego & Jaan Patterson
                      3970 | 2015 |                       Eszter Balint
                     34854 | 2015 |                       Ethnomite Pux
                     16516 | 2015 |                        Eva Schlegel
                     88650 | 2015 |                        Eva Sсhlegel
                     12531 | 2015 |            Every Now and Every Then
                     13998 | 2015 |                             Eyelids
                     21784 | 2015 |                            F Ampism
                      5095 | 2015 |                              F-Zero
                     34854 | 2015 |                  FIGURATIVE THEATRE
                     10350 | 2015 |                       FMA Overlords
                      3973 | 2015 |                        Fabio Keiner
                      7412 | 2015 |                         Fabio Rosho
                       808 | 2015 |                          Facialmess
                     10350 | 2015 |            Fairy Moshpit Applesauce
                     17559 | 2015 |                   Fake Cats Project
                       655 | 2015 |                              Falter
                     40072 | 2015 |                               Fargi
                     15103 | 2015 |                              Faster
                      9429 | 2015 |                          Fat Spirit
                     14278 | 2015 |                       Fatti Frances
                       191 | 2015 |             Fearless Super Pictures
                     40072 | 2015 | Felipe Barbosa and Rosendo J. Rocha
                     12918 | 2015 |                         Fields Ohio
                     34931 | 2015 |                         Filip Roter
                     35838 | 2015 |                              Filtré
                      4453 | 2015 |                            Finished
                     34854 | 2015 |                         Fiorella 16
                     34854 | 2015 |  Fiorella16 - La Función de Repulsa
                      3297 | 2015 |                       Fire Retarded
                     87029 | 2015 |                       Fivers Stereo
                      7312 | 2015 |                            Fixtures
                      3823 | 2015 |                        Flesh Lights
                     65245 | 2015 |                      Fleshtone Aura
                      3427 | 2015 |                           Flexion B
                    113843 | 2015 |                    Floating Spirits
                      1777 | 2015 |                         Flor Braier
                     12968 | 2015 |                      Flying Species
                     10785 | 2015 |                              Forlon
                      1608 | 2015 |                         Found Sound
                     24820 | 2015 |                        Franco Luzzi
                     19409 | 2015 |            Frank Wilke-Andrè Darius
                     35838 | 2015 |                            François
                     24693 | 2015 |                   Fred Lonberg-Holm
                     25173 | 2015 |                  From There to Here
                     46477 | 2015 |                           Frostroyk
                      1065 | 2015 |   Frédéric Gerchambeau & Zreen Toyz
                     24693 | 2015 |                            Furchick
                      2628 | 2015 |                            Furniker

 system.sum(listens_album) | year | artist
---------------------------+------+----------------------------------------
                     24097 | 2015 |                              Fuzziebär
                      2194 | 2015 |                          Fyodorovitch.
                      7412 | 2015 |                           G Raposeiras
                     14631 | 2015 |                 GMC Sebastian Sampieri
                     21784 | 2015 |                                  GRAPH
                     21784 | 2015 |                                 GUTBOY
                      5605 | 2015 |                     GX Jupitter-Larsen
                      7397 | 2015 |                                   Ga22
                      2001 | 2015 |                  Gabriel Pereira Spurr
                     82634 | 2015 |                               Galaxian
                     82634 | 2015 |                           Gary Krishna
                     48234 | 2015 |                              Gary Wood
                     34854 | 2015 |                             Gas Anorex
                     21631 | 2015 |                           Gavin Gamboa
                     33328 | 2015 |                                Gel Set
                     34854 | 2015 |                   Geneberlin & Alveola
                      5536 | 2015 |                             Germanager
                     34854 | 2015 |                      Gestalt OrchestrA
                     14860 | 2015 |                        Ghost By Nature
                      8661 | 2015 |                          Ghost Wavvves
                      4662 | 2015 |          Giant Gutter from Outer Space
                     18726 | 2015 |                              Gingerlys
                     34854 | 2015 |                                  Gnurr
                      8815 | 2015 |                   Goodarzi Family Band
                     19489 | 2015 |                          Gorilla Chief
                     91945 | 2015 |                               Gorowski
                    125857 | 2015 |                            Graham Bole
                     24693 | 2015 |     Graham Dunning and Stuart Chalmers
                     25173 | 2015 |               Greater Than Or Equal To
                     40072 | 2015 |               Greenlief Parkins Robair
                     82634 | 2015 |                          Grim & Reaper
                     46477 | 2015 |                      Grove of Whispers
                     40072 | 2015 |   Grove of Whispers feat. Michelle Yom
                      7968 | 2015 |                       Guerra de Cerdos
                     84008 | 2015 |                              Gurdonark
                     40072 | 2015 |                            Guy Harries
                     35838 | 2015 |                                  Gómez
                     33328 | 2015 |                               HAXXXORS
                      8837 | 2015 |                                   HAZE
                      7857 | 2015 |                                  HMBKR
                      8575 | 2015 |                            HOUTITOUTAH
                       949 | 2015 |                                   HRRR
                     15530 | 2015 |                              HaiiYuuko
                     34854 | 2015 |                          Half Evidence
                      8837 | 2015 |                                 Hanami
                     82634 | 2015 |                                  Hatch
                      3312 | 2015 |                 Hazy Montagne Mystique
                     21784 | 2015 |                             Heatertoes
                     22475 | 2015 |                            Hectic Head
                     13028 | 2015 |                              Helicalin
                     34854 | 2015 |                           Helyptronics
                     16424 | 2015 |        Herr Penschuck & Jaan Patterson
                      1461 | 2015 |                          Hertz - Metek
                     61856 | 2015 |                            Herve Perez
                      9780 | 2015 |                                Hexigen
                     15103 | 2015 |                       Hi Donna here...
                     15103 | 2015 |                  Hieronymous SteamCake
                      7261 | 2015 |                              HighWay17
                     10601 | 2015 |                              Himalayha
                     34854 | 2015 |                Hippies Wearing Muzzles
                      6099 | 2015 |                          Hissing Fauna
                     88650 | 2015 |                                Hobotek
                     14278 | 2015 |                           Hollow Press
                     22763 | 2015 |        Holly Golightly & The Brokeoffs
                      1031 | 2015 |                                  Honey
                      5143 | 2015 |                 Hope For Agoldensummer
                      8132 | 2015 |                           Hopek Quirin
                     16424 | 2015 |          Hopek Quirin & Jaan Patterson
                     25173 | 2015 |    Hopek Quirin and Hubert Heathertoes
                     21784 | 2015 | Hopek Quirin and Norbert Schwontkowski
                     35838 | 2015 |                           Horror House
                      9307 | 2015 |                            Horse Lords
                      4213 | 2015 |                       How I Quit Crack
                      7698 | 2015 |                         Howie Mitchell
                     10601 | 2015 |                            Human Being
                     82634 | 2015 |                            Human Stain
                      4442 | 2015 |                        Hyaena Fierling
                      4442 | 2015 |        Hyaena Fierling & Horus Chamber
                      4442 | 2015 |               Hyaena Fierling & MUTATE
                     36335 | 2015 |                           Hypp fractal
                      6423 | 2015 |                            I Not Dance
                     25173 | 2015 |                            I Transform
                     16424 | 2015 |                   ION & Jaan Patterson
                      6190 | 2015 |                                  IV-IN
                     28303 | 2015 |                           Igor Amokian
                      6713 | 2015 |                                    Iku
                      5714 | 2015 |                        Iku × konofumin
                     82634 | 2015 |                             Illocanblo
                     34854 | 2015 |                Incertitudes Prolongées
                      7412 | 2015 |                        Indch Libertine
                     82634 | 2015 |                             Inicolabug
                      5984 | 2015 |                                Inutili
                     35838 | 2015 |                   Invitados Especiales
                     45677 | 2015 |                                    Ion
                     54153 | 2015 |                         Irisu Syndrome
                      5818 | 2015 |                                 Itasca
                     15103 | 2015 |                           Ivan Salgado
                      8661 | 2015 |                                    J-K
                      7285 | 2015 |                               J. A. P.
                     16424 | 2015 |      J. Karl Bogartte & Jaan Patterson

 system.sum(listens_album) | year | artist
---------------------------+------+--------------------------------------------------
                      7412 | 2015 |                              JBit8 & Resonancedj
                     82634 | 2015 |                                           JFrank
                     98535 | 2015 |                                              JVS
                    174993 | 2015 |                                   Jaan Patterson
                     16424 | 2015 |                 Jaan Patterson & Anthony Donovan
                     35477 | 2015 |                                       Jack Hertz
                      2869 | 2015 |                Jack Hertz & Jukka-Pekka Kervinen
                      2740 | 2015 |                                    Jah Excretion
                     15103 | 2015 |                                     James Bailey
                     15103 | 2015 | James G. Fischetti - Matt Cantello - Jack Vorvis
                      6382 | 2015 |                        James and the Ultrasounds
                      2250 | 2015 |                                     Jan Grünfeld
                     19563 | 2015 |                                       Jan Strach
                    173384 | 2015 |                                  Jared C. Balogh
                     20387 | 2015 |                                        Jazznoize
                     21784 | 2015 |                                 Jean-Luc Grodard
                      7285 | 2015 |                                Jeanette  Luchese
                     48234 | 2015 |                                   Jeannine Lyons
                     34854 | 2015 |                                     Jeff Sampson
                     34854 | 2015 |                     Jeff Sampson and Kecap Tuyul
                       306 | 2015 |                                     Jenks Miller
                      7668 | 2015 |                             Jens-Ulrik Kleemeyer
                      2252 | 2015 |                    Jeremy Gluck & Dave Fuglewicz
